is_ct,form_gap,pistol_rate_gap,side_prior,fk_gap,tk_gap,call_early_winrate,call_mid_winrate,call_early_alive_end,call_mid_alive_end,call_early_future_kill,call_mid_future_kill,y,mtime,key,map,p_cal
1,0.6678293725756554,0.0,0.55,0.0,-0.1,0.0033100662881599963,-0.0016888895367280221,0.07040215388859494,0.052022879075209416,0.03708182687322564,0.02375952652283614,1,1769957970.0,hltv_2389644_103938_falcons_vs_aurora_m2_mirage,de_mirage,
0,0.6678293725756554,0.0,0.44999999999999996,0.0,-0.1,0.0033100662881599963,-0.0016888895367280221,0.07040215388859494,0.052022879075209416,0.03708182687322564,0.02375952652283614,0,1769957970.0,hltv_2389644_103938_falcons_vs_aurora_m2_mirage,de_mirage,
0,-0.10598971419071462,0.0,0.44999999999999996,0.0,0.0,0.0025356185059350334,0.004912291803800151,-0.04167643102447732,-0.06276148983813906,-0.017574843867717627,-0.029847657452817034,1,1769970577.0,hltv_2389646_103946_the_mongolz_vs_furia_m2_inferno,de_inferno,
1,-0.10598971419071462,0.0,0.55,0.0,0.0,0.0025356185059350334,0.004912291803800151,-0.04167643102447732,-0.06276148983813906,-0.017574843867717627,-0.029847657452817034,0,1769970577.0,hltv_2389646_103946_the_mongolz_vs_furia_m2_inferno,de_inferno,
1,-0.07767966663252784,0.625,0.5416666666666666,-0.2,0.4,0.0014958555669987161,0.0054389269208675595,-0.016639247329080953,-0.01639692644613111,-0.00989684428233123,-0.010476403096824849,0,1769981411.0,hltv_2389647_103949_natus_vincere_vs_spirit_m2_dust2,de_dust2,
0,-0.07767966663252784,0.625,0.45833333333333337,-0.2,0.4,0.0014958555669987161,0.0054389269208675595,-0.016639247329080953,-0.01639692644613111,-0.00989684428233123,-0.010476403096824849,0,1769981411.0,hltv_2389647_103949_natus_vincere_vs_spirit_m2_dust2,de_dust2,
0,1.112575995685496,-0.625,0.46875,0.0,-0.19999999999999998,-0.005432436775178573,-0.0013902020105753254,0.14306077889697671,0.1341163603705095,0.07837689875677517,0.07912763788504834,1,1770043438.0,hltv_2389649_103964_3dmax_vs_vitality_m2_dust2,de_dust2,
1,1.112575995685496,-0.625,0.53125,0.0,-0.19999999999999998,-0.005432436775178573,-0.0013902020105753254,0.14306077889697671,0.1341163603705095,0.07837689875677517,0.07912763788504834,0,1770043438.0,hltv_2389649_103964_3dmax_vs_vitality_m2_dust2,de_dust2,
1,0.4200522385774805,0.13888888888888884,0.4642857142857143,0.13333333333333333,0.06666666666666668,0.00294628828253507,0.01057443877129094,0.06114436950119412,0.008497080708185833,0.04004172562887198,0.015932463740946867,0,1770044134.0,hltv_2389651_103966_mouz_vs_aurora_m2_inferno,de_inferno,
0,0.4200522385774805,0.13888888888888884,0.5357142857142857,0.13333333333333333,0.06666666666666668,0.00294628828253507,0.01057443877129094,0.06114436950119412,0.008497080708185833,0.04004172562887198,0.015932463740946867,1,1770044134.0,hltv_2389651_103966_mouz_vs_aurora_m2_inferno,de_inferno,
